caldt,vwretx,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
2016-01-04,-0.015417,-0.011994,18330362600.00,504,18617395400.00,504,2012.66,-0.015304
2016-01-05,0.002129,0.001825,18385082700.00,504,18330362600.00,504,2016.71,0.002012
2016-01-06,-0.012912,-0.018427,18147688600.00,504,18385082700.00,504,1990.26,-0.013115
2016-01-07,-0.023461,-0.022467,17721250100.00,504,18147688600.00,504,1943.09,-0.023700
2016-01-08,-0.010901,-0.011437,17528085500.00,504,17721250100.00,504,1922.03,-0.010838
2016-01-11,0.001055,-0.004062,17546162200.00,504,17528085500.00,504,1923.67,0.000853
2016-01-12,0.007727,0.004794,17681740400.00,504,17546162200.00,504,1938.68,0.007803
2016-01-13,-0.025160,-0.025876,17236875200.00,504,17681740400.00,504,1890.28,-0.024965
2016-01-14,0.016622,0.014694,17523378100.00,504,17236875200.00,504,1921.84,0.016696
2016-01-15,-0.021706,-0.019865,17114674600.00,504,17494482900.00,503,1880.33,-0.021599
2016-01-19,0.000564,-0.003844,17135258000.00,504,17114674600.00,503,1881.33,0.000532
2016-01-20,-0.011728,-0.009764,16933898300.00,504,17135258000.00,504,1859.33,-0.011694
2016-01-21,0.005370,0.009091,17024825400.00,504,16933898300.00,504,1868.99,0.005195
2016-01-22,0.020313,0.020174,17369116800.00,504,17024825400.00,504,1906.90,0.020284
2016-01-25,-0.015354,-0.019828,17102432000.00,504,17369116800.00,504,1877.08,-0.015638
2016-01-26,0.014103,0.018962,17343627100.00,504,17102432000.00,504,1903.63,0.014144
2016-01-27,-0.010892,-0.007606,17154601900.00,504,17343627100.00,504,1882.95,-0.010863
2016-01-28,0.005698,0.000995,17252350200.00,504,17154601900.00,504,1893.36,0.005529
2016-01-29,0.024503,0.028053,17677853600.00,504,17252350200.00,504,1940.24,0.024760
2016-02-01,-0.000373,0.000604,17630374500.00,504,17614857400.00,502,1939.38,-0.000443
2016-02-02,-0.018695,-0.022391,17300783000.00,504,17630374500.00,504,1903.03,-0.018743
2016-02-03,0.004551,0.009950,17379180600.00,504,17300783000.00,504,1912.53,0.004992
2016-02-04,0.001479,0.005952,17403794700.00,504,17379180600.00,504,1915.45,0.001527
2016-02-05,-0.018471,-0.018226,17081702200.00,504,17403794700.00,504,1880.05,-0.018481
2016-02-08,-0.014344,-0.022587,16835819700.00,504,17081702200.00,504,1853.44,-0.014154
2016-02-09,-0.000764,-0.002957,16822686400.00,504,16835819700.00,504,1852.21,-0.000664
2016-02-10,-0.000070,0.000813,16821648700.00,504,16822686400.00,504,1851.86,-0.000189
2016-02-11,-0.012121,-0.014537,16617755000.00,504,16821648700.00,504,1829.08,-0.012301
2016-02-12,0.019302,0.022699,16945746000.00,504,16617755000.00,504,1864.78,0.019518
2016-02-16,0.016511,0.021246,17225466000.00,504,16945746000.00,504,1895.58,0.016517
2016-02-17,0.016507,0.019420,17510068200.00,504,17225466000.00,504,1926.82,0.016480
2016-02-18,-0.004859,-0.003538,17424984400.00,504,17510068200.00,504,1917.83,-0.004666
2016-02-19,0.000127,-0.002101,17426059100.00,504,17424984400.00,504,1917.78,-0.000026
2016-02-22,0.014503,0.018792,17684190500.00,504,17419689900.00,503,1945.50,0.014454
2016-02-23,-0.012207,-0.012838,17468288300.00,504,17684190500.00,504,1921.27,-0.012454
2016-02-24,0.004449,0.006119,17545989400.00,504,17468288300.00,504,1929.80,0.004440
2016-02-25,0.011418,0.010962,17746481000.00,504,17545989400.00,504,1951.70,0.011348
2016-02-26,-0.001878,0.002741,17714313000.00,504,17746481000.00,504,1948.05,-0.001870
2016-02-29,-0.008189,-0.007172,17507959900.00,504,17714313000.00,504,1932.23,-0.008121
2016-03-01,0.023568,0.022636,17920719500.00,504,17507959900.00,504,1978.35,0.023869
2016-03-02,0.003982,0.007940,17992052600.00,504,17920719500.00,504,1986.45,0.004094
2016-03-03,0.003493,0.009842,18041140400.00,504,17978348500.00,503,1993.40,0.003499
2016-03-04,0.003114,0.005052,18106924700.00,504,18041140400.00,503,1999.99,0.003306
2016-03-07,0.000815,0.004627,18131117000.00,504,18106924700.00,503,2001.76,0.000885
2016-03-08,-0.011132,-0.017401,17930001100.00,504,18131117000.00,504,1979.26,-0.011240
2016-03-09,0.004927,0.005413,18017873500.00,504,17930001100.00,504,1989.26,0.005052
2016-03-10,0.000142,0.000833,18019454900.00,504,18017873500.00,504,1989.57,0.000156
2016-03-11,0.016297,0.020454,18313233800.00,504,18019454900.00,504,2022.19,0.016396
2016-03-14,-0.001149,-0.002030,18292021000.00,504,18313233800.00,504,2019.64,-0.001261
2016-03-15,-0.001860,-0.006098,18257911900.00,504,18292021000.00,504,2015.93,-0.001837
2016-03-16,0.005686,0.009423,18361728200.00,504,18257911900.00,504,2027.22,0.005600
2016-03-17,0.006385,0.009110,18478842900.00,504,18361728200.00,504,2040.59,0.006595
2016-03-18,0.004326,0.005498,18557980000.00,504,18478842900.00,504,2049.58,0.004406
2016-03-21,0.000997,-0.000299,18575969500.00,504,18557980000.00,504,2051.60,0.000986
2016-03-22,-0.000905,-0.000930,18558985700.00,504,18575969500.00,504,2049.80,-0.000877
2016-03-23,-0.006338,-0.010051,18441376400.00,504,18558985700.00,504,2036.71,-0.006386
2016-03-24,-0.000328,-0.000996,18418061800.00,504,18434526900.00,503,2035.94,-0.000378
2016-03-28,0.000568,0.001624,18434301000.00,504,18418061800.00,503,2037.05,0.000545
2016-03-29,0.008794,0.009369,18596439900.00,504,18434301000.00,503,2055.01,0.008817
2016-03-30,0.004392,0.003127,18692858900.00,504,18596439900.00,503,2063.95,0.004350
2016-03-31,-0.002031,0.000271,18634390600.00,504,18692858900.00,504,2059.74,-0.002040
2016-04-01,0.006380,0.003668,18752803500.00,504,18634390600.00,504,2072.78,0.006331
2016-04-04,-0.003268,-0.005880,18687731800.00,504,18740156000.00,503,2066.13,-0.003208
2016-04-05,-0.010148,-0.011362,18498085300.00,504,18687731800.00,504,2045.17,-0.010145
2016-04-06,0.010507,0.010444,18692444800.00,504,18498085300.00,504,2066.66,0.010508
2016-04-07,-0.012027,-0.012594,18467637500.00,504,18692444800.00,504,2041.91,-0.011976
2016-04-08,0.002739,0.004377,18517870200.00,505,18467637500.00,504,2047.60,0.002787
2016-04-11,-0.002804,-0.001576,18465916300.00,505,18517870200.00,505,2041.99,-0.002740
2016-04-12,0.009720,0.010758,18645409100.00,505,18465916300.00,505,2061.72,0.009662
2016-04-13,0.009941,0.012881,18830898400.00,505,18645409100.00,505,2082.42,0.010040
2016-04-14,0.000135,-0.001918,18833472700.00,505,18830898400.00,505,2082.78,0.000173
2016-04-15,-0.000877,0.000114,18816091000.00,505,18833472700.00,505,2080.73,-0.000984
2016-04-18,0.006617,0.006844,18950487900.00,505,18816091000.00,505,2094.34,0.006541
2016-04-19,0.002914,0.004674,19005702700.00,505,18950487900.00,505,2100.80,0.003085
2016-04-20,0.000684,0.001247,19018629700.00,505,19005702700.00,505,2102.40,0.000762
2016-04-21,-0.005253,-0.005972,18918566900.00,505,19018629700.00,505,2091.48,-0.005194
2016-04-22,0.000015,0.005926,18919012300.00,505,18918566900.00,505,2091.58,0.000048
2016-04-25,-0.001658,-0.004318,18893811400.00,505,18919012300.00,505,2087.79,-0.001812
2016-04-26,0.001775,0.006587,18927330000.00,505,18893811400.00,505,2091.70,0.001873
2016-04-27,0.001666,0.005886,18959477100.00,505,18927330000.00,505,2095.15,0.001649
2016-04-28,-0.009212,-0.011253,18784720900.00,505,18959477100.00,505,2075.81,-0.009231
2016-04-29,-0.004958,-0.007158,18690033000.00,505,18784720900.00,505,2065.30,-0.005063
2016-05-02,0.007952,0.006766,18831649600.00,505,18683083400.00,504,2081.43,0.007810
2016-05-03,-0.008700,-0.010632,18678436900.00,505,18831649600.00,504,2063.37,-0.008677
2016-05-04,-0.005814,-0.006908,18569885900.00,505,18678436900.00,505,2051.12,-0.005937
2016-05-05,-0.000138,-0.000272,18567405700.00,505,18569885900.00,505,2050.63,-0.000239
2016-05-06,0.003339,0.002262,18629242600.00,505,18567405700.00,505,2057.14,0.003175
2016-05-09,0.000912,-0.000325,18646204900.00,505,18629242600.00,505,2058.69,0.000753
2016-05-10,0.012481,0.012620,18878929200.00,505,18646204900.00,505,2084.39,0.012484
2016-05-11,-0.009667,-0.010903,18696433100.00,505,18878929200.00,505,2064.46,-0.009562
2016-05-12,-0.000048,-0.001736,18681878200.00,505,18681119900.00,504,2064.11,-0.000170
2016-05-13,-0.008612,-0.008804,18530045100.00,506,18681878200.00,504,2046.61,-0.008478
2016-05-16,0.009800,0.009738,18710201600.00,506,18530045100.00,506,2066.66,0.009797
2016-05-17,-0.009640,-0.006446,18528699800.00,505,18710201600.00,506,2047.21,-0.009411
2016-05-18,-0.000086,-0.002185,18481185700.00,505,18469037900.00,504,2047.63,0.000205
2016-05-19,-0.003176,-0.003472,18422374600.00,505,18481185700.00,505,2040.04,-0.003707
2016-05-20,0.006009,0.008096,18533166800.00,505,18422374600.00,505,2052.32,0.006019
2016-05-23,-0.002105,-0.001743,18493601700.00,505,18522758900.00,504,2048.04,-0.002085
2016-05-24,0.013658,0.013840,18746190300.00,505,18493601700.00,505,2076.06,0.013681
2016-05-25,0.006897,0.007593,18875440500.00,505,18746190300.00,505,2090.54,0.006975
2016-05-26,-0.000177,-0.001046,18872069300.00,505,18875440500.00,505,2090.10,-0.000210
2016-05-27,0.004229,0.005260,18951992300.00,505,18872069300.00,505,2099.06,0.004287
2016-05-31,-0.000881,0.001086,18914293500.00,505,18940242000.00,504,2096.96,-0.001000
2016-06-01,0.001096,0.001782,18935028400.00,505,18914293500.00,505,2099.33,0.001130
2016-06-02,0.002795,0.004385,18987947800.00,505,18935028400.00,505,2105.26,0.002825
2016-06-03,-0.002839,-0.003459,18916560900.00,505,18956491300.00,504,2099.13,-0.002912
2016-06-06,0.004831,0.006681,19008073200.00,505,18916560900.00,505,2109.41,0.004897
2016-06-07,0.001225,0.003297,19031363500.00,505,19008073200.00,505,2112.13,0.001289
2016-06-08,0.003300,0.003153,19094551400.00,505,19031363500.00,505,2119.12,0.003309
2016-06-09,-0.001739,-0.002759,19061350400.00,505,19094551400.00,505,2115.48,-0.001718
2016-06-10,-0.009155,-0.013492,18886294100.00,505,19061350400.00,505,2096.07,-0.009175
2016-06-13,-0.008055,-0.008817,18734156500.00,505,18886294100.00,505,2079.06,-0.008115
2016-06-14,-0.001741,-0.003524,18701542100.00,505,18734156500.00,505,2075.32,-0.001799
2016-06-15,-0.001785,0.000301,18668151100.00,505,18701542100.00,505,2071.50,-0.001841
2016-06-16,0.003100,0.000861,18726022800.00,505,18668151100.00,505,2077.99,0.003133
2016-06-17,-0.003234,0.001444,18665453600.00,505,18726022800.00,505,2071.22,-0.003258
2016-06-20,0.005851,0.008060,18774670500.00,505,18665453600.00,505,2083.25,0.005808
2016-06-21,0.002647,0.001698,18824361300.00,505,18774670500.00,505,2088.90,0.002712
2016-06-22,-0.001654,-0.001619,18785490900.00,505,18816611400.00,504,2085.45,-0.001652
2016-06-23,0.013321,0.014940,19035734700.00,505,18785490900.00,504,2113.32,0.013364
2016-06-24,-0.035730,-0.041131,18356267100.00,505,19035734700.00,504,2037.41,-0.035920
2016-06-27,-0.018012,-0.026580,18025643000.00,505,18356267100.00,505,2000.54,-0.018097
2016-06-28,0.017597,0.020316,18342844600.00,505,18025643000.00,505,2036.09,0.017770
2016-06-29,0.017125,0.019329,18656784200.00,505,18342844600.00,505,2070.77,0.017033
2016-06-30,0.013527,0.015361,18902419700.00,505,18656784200.00,505,2098.86,0.013565
2016-07-01,0.001965,0.003169,18933291500.00,505,18877741400.00,502,2102.95,0.001949
2016-07-05,-0.006697,-0.012466,18806546500.00,506,18933291500.00,504,2088.55,-0.006848
2016-07-06,0.005371,0.005927,18907553000.00,505,18806546500.00,505,2099.73,0.005353
2016-07-07,-0.000878,0.000399,18890945100.00,505,18907553000.00,505,2097.90,-0.000872
2016-07-08,0.015188,0.018835,19177860600.00,505,18890945100.00,505,2129.90,0.015253
2016-07-11,0.003447,0.004106,19243959700.00,505,19177860600.00,505,2137.16,0.003409
2016-07-12,0.006787,0.012043,19374562300.00,505,19243959700.00,505,2152.14,0.007009
2016-07-13,0.000157,-0.000553,19377739000.00,505,19374562300.00,505,2152.43,0.000135
2016-07-14,0.005208,0.004626,19478669200.00,505,19377739000.00,505,2163.75,0.005259
2016-07-15,-0.000962,-0.000960,19459213400.00,505,19478669200.00,505,2161.74,-0.000929
2016-07-18,0.002394,0.002218,19505829900.00,505,19459213400.00,505,2166.89,0.002382
2016-07-19,-0.001431,-0.003003,19477796700.00,505,19505829900.00,505,2163.78,-0.001435
2016-07-20,0.004251,0.004941,19560666400.00,505,19477796700.00,505,2173.02,0.004270
2016-07-21,-0.003603,-0.003338,19490357000.00,505,19560666400.00,505,2165.17,-0.003612
2016-07-22,0.004505,0.005997,19576109500.00,505,19490357000.00,505,2175.03,0.004554
2016-07-25,-0.002886,-0.002092,19519498300.00,505,19576109500.00,505,2168.48,-0.003011
2016-07-26,0.000169,0.004491,19522654700.00,505,19519498300.00,505,2169.18,0.000323
2016-07-27,-0.001373,-0.005640,19495967200.00,505,19522654700.00,505,2166.58,-0.001199
2016-07-28,0.001654,0.002115,19528592800.00,505,19495967200.00,505,2170.06,0.001606
2016-07-29,0.001696,0.001255,19539744000.00,505,19528592800.00,505,2173.60,0.001631
2016-08-01,-0.001186,-0.004583,19516606100.00,505,19539744000.00,505,2170.84,-0.001270
2016-08-02,-0.006435,-0.009457,19391059800.00,505,19516606100.00,505,2157.03,-0.006362
2016-08-03,0.003061,0.006365,19450418800.00,505,19391059800.00,505,2163.79,0.003134
2016-08-04,0.000262,-0.000597,19455460100.00,505,19450418800.00,505,2164.25,0.000213
2016-08-05,0.008616,0.009386,19624187700.00,505,19455460100.00,505,2182.87,0.008603
2016-08-08,-0.000913,-0.000129,19606268700.00,505,19624187700.00,505,2180.89,-0.000907
2016-08-09,0.000342,-0.001314,19612975200.00,505,19606268700.00,505,2181.74,0.000390
2016-08-10,-0.002725,-0.002933,19559540400.00,505,19612975200.00,505,2175.49,-0.002865
2016-08-11,0.004718,0.007101,19651832200.00,505,19559540400.00,505,2185.79,0.004735
2016-08-12,-0.000761,-0.000946,19636878200.00,505,19651832200.00,505,2184.05,-0.000796
2016-08-15,0.002718,0.004968,19690365900.00,505,19636878200.00,505,2190.15,0.002793
2016-08-16,-0.005510,-0.006212,19581877000.00,505,19690365900.00,505,2178.15,-0.005479
2016-08-17,0.001798,0.001170,19617079100.00,505,19581877000.00,505,2182.22,0.001869
2016-08-18,0.002312,0.005057,19662434600.00,505,19617079100.00,505,2187.02,0.002200
2016-08-19,-0.001541,0.000017,19632432300.00,505,19662434600.00,505,2183.87,-0.001440
2016-08-22,-0.000548,-0.000883,19621658300.00,505,19632432300.00,505,2182.64,-0.000563
2016-08-23,0.001873,0.003905,19658413500.00,505,19621658300.00,505,2186.90,0.001952
2016-08-24,-0.005262,-0.006837,19555003200.00,505,19658413500.00,505,2175.44,-0.005240
2016-08-25,-0.001435,-0.000748,19526959200.00,505,19555003200.00,505,2172.47,-0.001365
2016-08-26,-0.001528,-0.002727,19496934800.00,505,19526959200.00,505,2169.04,-0.001579
2016-08-29,0.005195,0.005691,19598214600.00,505,19496934800.00,505,2180.38,0.005228
2016-08-30,-0.002018,-0.002020,19558672800.00,505,19598214600.00,505,2176.12,-0.001954
2016-08-31,-0.002297,-0.003864,19491364100.00,505,19558672800.00,505,2170.95,-0.002376
2016-09-01,0.000051,-0.000993,19492418300.00,505,19491364100.00,505,2170.86,-0.000041
2016-09-02,0.004118,0.005301,19571825200.00,505,19492418300.00,505,2179.98,0.004201
2016-09-06,0.003020,0.001568,19612773900.00,505,19542839600.00,504,2186.48,0.002982
2016-09-07,-0.000190,0.002101,19588167400.00,506,19555927600.00,504,2186.16,-0.000146
2016-09-08,-0.002126,-0.001457,19608098500.00,505,19588167400.00,505,2181.30,-0.002223
2016-09-09,-0.024646,-0.027621,19124673100.00,505,19608098500.00,505,2127.81,-0.024522
2016-09-12,0.014792,0.015449,19407556500.00,505,19124673100.00,505,2159.04,0.014677
2016-09-13,-0.014782,-0.017300,19120695000.00,505,19407556500.00,505,2127.02,-0.014831
2016-09-14,-0.000624,-0.002142,19108803700.00,505,19120695000.00,505,2125.77,-0.000588
2016-09-15,0.010111,0.010080,19302016900.00,505,19108803700.00,505,2147.26,0.010109
2016-09-16,-0.003721,-0.004246,19230202900.00,505,19302016900.00,505,2139.16,-0.003772
2016-09-19,-0.000110,0.001990,19228082000.00,505,19230202900.00,505,2139.12,-0.000019
2016-09-20,0.000328,-0.002194,19234390400.00,505,19228082000.00,505,2139.76,0.000299
2016-09-21,0.010829,0.013354,19442686400.00,505,19234390400.00,505,2163.12,0.010917
2016-09-22,0.006535,0.007784,19569551900.00,505,19442686400.00,505,2177.18,0.006500
2016-09-23,-0.005610,-0.005401,19455144800.00,505,19556488100.00,504,2164.69,-0.005737
2016-09-26,-0.008648,-0.007498,19286887300.00,505,19455144800.00,505,2146.10,-0.008588
2016-09-27,0.006555,0.004762,19413319700.00,505,19286887300.00,505,2159.93,0.006444
2016-09-28,0.005200,0.007300,19514260900.00,505,19413319700.00,505,2171.37,0.005296
2016-09-29,-0.009371,-0.008993,19331388100.00,505,19514260900.00,505,2151.13,-0.009321
2016-09-30,0.008015,0.008486,19496704500.00,505,19331388100.00,505,2168.27,0.007968
2016-10-03,-0.003247,-0.003807,19432784600.00,507,19496704500.00,505,2161.20,-0.003261
2016-10-04,-0.004972,-0.006803,19332903700.00,505,19432784600.00,507,2150.49,-0.004956
2016-10-05,0.004246,0.005619,19414983100.00,505,19332903700.00,505,2159.73,0.004297
2016-10-06,0.000257,0.000424,19419964500.00,505,19414983100.00,505,2160.77,0.000482
2016-10-07,-0.003311,-0.005462,19355674400.00,505,19419964500.00,505,2153.74,-0.003253
2016-10-10,0.004571,0.004620,19444142100.00,505,19355674400.00,505,2163.66,0.004606
2016-10-11,-0.012480,-0.014818,19201479900.00,505,19444142100.00,505,2136.73,-0.012447
2016-10-12,0.001127,0.001428,19223263800.00,505,19201479900.00,505,2139.18,0.001147
2016-10-13,-0.002977,-0.003579,19166066000.00,505,19223263800.00,505,2132.55,-0.003099
2016-10-14,0.000235,-0.000721,19163679800.00,505,19166066000.00,505,2132.98,0.000202
2016-10-17,-0.003059,-0.003608,19105037600.00,505,19163679800.00,505,2126.50,-0.003038
2016-10-18,0.006191,0.007137,19223351800.00,505,19105037600.00,505,2139.60,0.006160
2016-10-19,0.002147,0.004703,19264791500.00,505,19223351800.00,505,2144.29,0.002192
2016-10-20,-0.001393,-0.001394,19238046300.00,505,19264791500.00,505,2141.34,-0.001376
2016-10-21,0.000164,-0.001029,19241087900.00,505,19238046300.00,505,2141.16,-0.000084
2016-10-24,0.004962,0.003182,19336262200.00,505,19241087900.00,505,2151.33,0.004750
2016-10-25,-0.003762,-0.006607,19263428200.00,505,19336262200.00,505,2143.16,-0.003798
2016-10-26,-0.001812,-0.000491,19228402600.00,505,19263428200.00,505,2139.43,-0.001740
2016-10-27,-0.003018,-0.005922,19169648300.00,505,19228402600.00,505,2133.04,-0.002987
2016-10-28,-0.003085,-0.000171,19112176200.00,505,19169648300.00,505,2126.41,-0.003108
2016-10-31,0.000014,0.001645,19101882500.00,506,19112176200.00,505,2126.15,-0.000122
2016-11-01,-0.006872,-0.008273,18971002600.00,508,19101882500.00,506,2111.72,-0.006787
2016-11-02,-0.006585,-0.007756,18830350800.00,505,18971002600.00,508,2097.94,-0.006525
2016-11-03,-0.004430,-0.003215,18746823800.00,505,18830350800.00,505,2088.66,-0.004423
2016-11-04,-0.001792,0.000065,18713215000.00,505,18746823800.00,505,2085.18,-0.001666
2016-11-07,0.022178,0.021925,19128238100.00,505,18713215000.00,505,2131.52,0.022224
2016-11-08,0.003792,0.003091,19200777700.00,505,19128238100.00,505,2139.56,0.003772
2016-11-09,0.010860,0.012336,19409292100.00,505,19200777700.00,505,2163.26,0.011077
2016-11-10,0.001592,0.006483,19436069400.00,506,19409292100.00,505,2167.48,0.001951
2016-11-11,-0.001386,-0.000341,19408646500.00,505,19436069400.00,506,2164.45,-0.001398
